/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/center_2018_01_01_03_45_39_629.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/left_2018_01_01_03_45_39_629.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/right_2018_01_01_03_45_39_629.jpg,0,0,0,5.463894E-05
/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/center_2018_01_01_03_45_39_707.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/left_2018_01_01_03_45_39_707.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/right_2018_01_01_03_45_39_707.jpg,0,0,0,5.507142E-05
/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/center_2018_01_01_03_45_39_779.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/left_2018_01_01_03_45_39_779.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/right_2018_01_01_03_45_39_779.jpg,0,0,0,5.519927E-05
/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/center_2018_01_01_03_45_39_858.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/left_2018_01_01_03_45_39_858.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/right_2018_01_01_03_45_39_858.jpg,0,0,0,5.453625E-05
/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/center_2018_01_01_03_45_39_924.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/left_2018_01_01_03_45_39_924.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/right_2018_01_01_03_45_39_924.jpg,0,0,0,5.496098E-05
/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/center_2018_01_01_03_45_39_995.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/left_2018_01_01_03_45_39_995.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/right_2018_01_01_03_45_39_995.jpg,0,0,0,5.456873E-05
/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/center_2018_01_01_03_45_40_079.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/left_2018_01_01_03_45_40_079.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/right_2018_01_01_03_45_40_079.jpg,0,0,0,5.513518E-05
/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/center_2018_01_01_03_45_40_150.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/left_2018_01_01_03_45_40_150.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/right_2018_01_01_03_45_40_150.jpg,0,0,0,5.523921E-05
/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/center_2018_01_01_03_45_40_223.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/left_2018_01_01_03_45_40_223.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/right_2018_01_01_03_45_40_223.jpg,0,0,0,5.494216E-05
/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/center_2018_01_01_03_45_40_290.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/left_2018_01_01_03_45_40_290.jpg,/Users/tyler/tensorflow/Behavioral Cloning/my_data/IMG/right_2018_01_01_03_45_40_290.jpg,0,0,0,5.482903E-05
